女上位 (cowgirl)
女上位背对 (reverse_cowgirl)
传教士 (missionary)
后入式 (doggy_style)
狗爬式 (doggy)
侧入式 (spooning)
勺子式 (spoon)
69式 (69)
舔阴 (cunnilingus)
舔肛 (anilingus)
69 (sixtynine)
69口交 (sixtynine_oral)
剪刀式 (scissoring)
女女摩擦 (tribadism)
阴茎摩擦 (frotting)
足交 (footjob)
鞋交 (shoe_job)
靴交 (boot_job)
舔蛋 (teabagging)
睾丸崇拜 (balls_worship)
阴道崇拜 (pussy_worship)
屁股崇拜 (ass_worship)
阴茎崇拜 (cock_worship)
精液崇拜 (cum_worship)
束缚 (bondage)
绳缚 (bondage_rope)
绳缚 (rope_bondage)
锁链束缚 (chain_bondage)
手铐脚镣 (shackles)
手铐 (handcuffs)
被铐 (cuffed)
被绑 (bound)
被绑 (tied)
BDSM (bdsm)
施虐 (sadism)
受虐 (masochism)
主导 (dominant)
服从 (submissive)
主人 (master)
奴隶 (slave)
主人 (daddy)
小女孩 (little_girl)
Mistress (misty)
女主人 (mistress)
先生 (sir)
夫人 (madam)
女王 (dominatrix)
惩罚 (punishment)
鞭子 (whip)
鞭打 (whipping)
打屁股 (spanking)
藤条 (caning)
鞭打 (flogging)
马鞭 (crop)
桨 (paddle)
腰带 (belt)
梳子 (hairbrush)
手 (hand)
扇 (slapping)
扇脸 (face_slapping)
鞭痕 (whip_bites)
痕迹 (marks)
咬痕 (bites)
吻痕 (hickey)
爱痕 (love_bites)
瘀伤 (bruises)
红印 (red_marks)
印记 (imprints)
印记 (print)
皮肤上的痕迹 (marks_on_skin)
皮肤痕迹 (skin_mark)
身体痕迹 (body_mark)
瘀伤 (bruise_on)
抓痕 (scratch)
指甲抓痕 (nail_scratch)
爪痕 (claw_mark)
指甲 (fingernail)
鞭痕 (welts)
鞭痕 (weals)
条纹 (striation)
条纹 (striae)
妊娠纹 (stretch_marks)
橘皮组织 (cellulite)
不完美 (imperfections)
缺陷 (flaws)
缺陷 (defects)
不完美 (imperfect)
有缺陷 (flawed)
不完美的身体 (imperfect_body)
可见的不完美 (imperfections_visible)
皮肤不完美 (skin_imperfections)
身体不完美 (body_imperfections)
可见缺陷 (visible_flaws)
明显的瑕疵 (noticeable_imperfections)
皮肤问题 (skin_issues)
皮肤问题 (skin_problems)
身体问题 (body_issues)
身体问题 (body_problems)
可见妊娠纹 (stretch_marks_visible)
可见橘皮组织 (cellulite_visible)
痤疮 (acne)
粉刺 (pimples)
黑头 (blackheads)
白头 (whiteheads)
肿块 (bumps)
斑块 (patches)
斑点 (spots)
雀斑 (freckles)
痣 (moles)
胎记 (birthmarks)
疤痕 (scars)
标记 (marks)
旧疤痕 (old_scars)
新疤痕 (new_scars)
疤痕组织 (scar_tissue)
愈合中的疤痕 (healing_scars)
新鲜的疤痕 (fresh_scars)
旧的痕迹 (old_marks)
新的痕迹 (new_marks)
痕迹 (trace)
证据 (evidence)
证明 (proof)
迹象 (sign)
指示 (indication)
症状 (symptom)
特征 (characteristic)
特征 (trait)
特征 (feature)
质量 (quality)
属性 (attribute)
属性 (property)
规格 (specification)
细节 (detail)
细节 (particular)
元素 (element)
组成部分 (component)
成分 (ingredient)
方面 (aspect)
因素 (factor)
原因 (cause)
理由 (reason)
解释 (explanation)
说明 (account)
描述 (description)
定义 (definition)
说明 (exposition)
解释 (explication)
详细说明 (elaboration)
澄清 (clarification)
说明 (illustration)
例证 (exemplification)
演示 (demonstration)
证实 (corroboration)
确认 (confirmation)
验证 (verification)
验证 (authentication)
验证 (validation)
证实 (substantiation)
支持 (support)
支持 (backup)
加强 (reinforcement)
支持 (backing)
提倡 (advocacy)
认可 (endorsement)
批准 (approval)
接受 (acceptance)
采用 (adoption)
接受 (embrace)
接受 (acceptance_of)
批准 (approval_of)
同意 (agreement)
同意 (concurrence)
同意 (consent)
许可 (permission)
授权 (authorization)
批准 (sanction)
认可 (endorsement_of)
验证 (validation_of)
验证 (verification_of)
验证 (authentication_of)
确认 (confirmation_of)
证明 (proof_of)
证据 (evidence_of)
演示 (demonstration_of)
例证 (exemplification_of)
说明 (illustration_of)
详细说明 (elaboration_of)
澄清 (clarification_of)
解释 (explication_of)
定义 (definition_of)
描述 (description_of)
说明 (account_of)
解释 (explanation_of)
理由 (reason_of)
原因 (cause_of)
因素 (factor_of)
方面 (aspect_of)
特征 (trait_of)
特征 (characteristic_of)
特征 (feature_of)
质量 (quality_of)
属性 (attribute_of)
属性 (property_of)
规格 (specification_of)
细节 (detail_of)
元素 (element_of)
组成部分 (component_of)
成分 (ingredient_of)
可见的痕迹 (visible_marks)
皮肤痕迹 (skin_marks)
身体痕迹 (body_marks)
磨损痕迹 (wear_marks)
使用痕迹 (use_marks)
年龄痕迹 (age_marks)
时间痕迹 (time_marks)
生活痕迹 (life_marks)
经验痕迹 (experience_marks)
历史痕迹 (history_marks)
故事痕迹 (story_marks)
叙述痕迹 (narrative_marks)
传说痕迹 (tale_marks)
传奇痕迹 (legend_marks)
神话痕迹 (myth_marks)
民间传说痕迹 (folklore_marks)
传统痕迹 (tradition_marks)
文化痕迹 (culture_marks)
社会痕迹 (society_marks)
社区痕迹 (community_marks)
家庭痕迹 (family_marks)
关系痕迹 (relationship_marks)
个人痕迹 (personal_marks)
亲密痕迹 (intimate_marks)
性痕迹 (sexual_marks)
色情痕迹 (erotic_marks)
浪漫痕迹 (romantic_marks)
热情痕迹 (passionate_marks)
感性痕迹 (sensual_marks)
情感痕迹 (emotional_marks)
身体痕迹 (physical_marks)
心理痕迹 (mental_marks)
心理痕迹 (psychological_marks)
精神痕迹 (spiritual_marks)
灵魂痕迹 (soul_marks)
心痕 (heart_marks)
心智痕迹 (mind_marks)
精神痕迹 (spirit_marks)
爱痕 (love_marks)
欲望痕迹 (lust_marks)
渴望痕迹 (desire_marks)
想要痕迹 (want_marks)
需要痕迹 (need_marks)
渴望痕迹 (longing_marks)
向往痕迹 (yearning_marks)
思念痕迹 (pining_marks)
渴望痕迹 (craving_marks)
疼痛痕迹 (aching_marks)
燃烧痕迹 (burning_marks)
疼痛 (aching)
燃烧 (burning)
悸动 (throbbing)
脉冲 (pulsing)
跳动 (beating)
猛击 (pounding)
敲打 (hammering)
敲击 (knocking)
轻敲 (tapping)
触摸 (touching)
感觉 (feeling)
感知 (sensing)
感知 (perceiving)
检测 (detecting)
注意 (noticing)
观察 (observing)
看到 (seeing)
观看 (watching)
凝视 (gazing)
盯着 (staring)
瞪眼 (glaring)
看 (looking)
寻找 (searching)
寻找 (seeking)
狩猎 (hunting)
追逐 (chasing)
追求 (pursuing)
跟随 (following)
跟踪 (trailing)
跟踪 (shadowing)
跟踪 (stalking)
偷偷摸摸 (sneaking)
爬行 (creeping)
滑行 (slinking)
滑倒 (slipping)
滑行 (gliding)
滑冰 (skating)
滑动 (sliding)
滑翔 (gliding)
飞行 (flying)
翱翔 (soaring)
上升 (rising)
下落 (falling)
下降 (dropping)
暴跌 (plummeting)
下沉 (sinking)
溺水 (drowning)
漂浮 (floating)
游泳 (swimming)
潜水 (diving)
冲浪 (surfing)
